Player,HOFm,Chmp,AP1,PB,St,From,To,wAV,G,GS,Int,Yds,TD,Lng,PD,Sk,Comb,Solo,Ast,TFL,QBHits
Jamie Collins,34.5,2,0,1,7,2013,2022,58,125,105,12,169,1,69,39,26.5,708,455,253,64,53
Dexter Coakley,34.3,0,0,3,9,1997,2006,65,155,141,13,274,4,52,38,9.5,796,630,166,29,1
Don Shinnick,33.85,2,0,0,12,1957,1969,60,159,152,37,255,0,23,,12.5,,,,,
George Webster,33.83,0,3,3,6,1967,1976,53,119,89,5,67,0,26,,14,,,,,
Chad Greenway,33.65,0,0,2,10,2007,2016,66,156,144,11,222,2,91,33,18,1103,762,341,62,42
Daryl Smith,33.45,0,0,0,12,2004,2016,72,190,183,12,82,1,37,69,30.5,1088,764,324,78,52
John Mobley,32.63,2,1,0,6,1996,2003,52,105,102,5,45,1,17,22,10.5,621,491,130,28,
Brian Orakpo,32.63,0,0,4,8,2009,2018,58,132,132,1,29,1,29,31,66,424,294,130,77,125
Otis Wilson,32.45,1,0,1,7,1980,1989,58,110,91,10,115,2,39,,38,,,,,
E.J. Junior,32.4,0,1,2,9,1981,1993,59,170,120,12,186,0,53,,36.5,,,,,
Kevin Hardy,32.33,0,1,1,9,1996,2004,62,134,128,5,59,0,24,29,36,740,563,177,49,
Shaquil Barrett,31.95,2,0,2,4,2015,2023,50,131,85,3,11,1,4,18,59,400,289,111,73,125
Jamie Sharper,31.93,1,0,0,9,1997,2005,60,136,135,2,49,0,45,39,25.5,879,644,235,61,
Reggie Williams,31.93,0,0,0,14,1976,1989,69,206,196,16,194,1,54,,63.5,,,,,
Fred Carr,31.88,0,0,3,8,1968,1977,60,140,112,8,98,1,28,,13,,,,,
Micah Parsons,31.8,0,2,3,2,2021,2023,50,50,50,0,0,0,0,8,40.5,213,142,71,51,89
Anthony Barr,31.68,0,0,4,7,2014,2023,56,116,108,5,45,0,32,32,18.5,554,371,183,41,48
Darrin Smith,31.38,2,0,0,10,1993,2004,55,156,140,11,155,4,41,33,24,782,583,199,30,
Tom Addison,31.33,0,1,4,8,1960,1967,66,106,99,16,103,1,17,,15,,,,,
A.J. Hawk,31.03,1,0,1,10,2006,2016,55,159,147,9,121,0,29,34,20,946,645,301,57,36
Stan White,31.03,0,0,0,10,1972,1982,67,153,139,34,428,2,40,,27.5,,,,,
Duane Bickett,30.95,0,0,1,9,1985,1996,64,175,138,9,46,0,14,,53,1079,1071,8,,
Hugh Green,30.83,0,0,2,8,1981,1991,61,136,119,6,169,2,50,,37.3,,,,,
Larry Stallings,30.73,0,0,1,14,1963,1976,63,181,175,9,76,1,26,,27.5,,,,,
Paul Naumoff,30.58,0,0,1,11,1967,1978,63,168,152,6,38,0,12,,20.5,,,,,
Greg Brezina,30.38,0,0,1,10,1968,1979,63,151,140,12,95,0,36,,26,,,,,
LaMarr Woodley,30.33,1,0,1,7,2007,2015,54,110,93,5,40,1,14,18,58,319,229,90,73,103
Kyle Van Noy,30.2,2,0,0,6,2014,2023,52,142,89,3,35,1,35,33,42.5,500,338,162,56,72
Doug Buffone,30,0,0,0,11,1966,1979,65,186,156,24,211,0,22,,15,,,,,
Matt Hazeltine,29.8,0,0,2,15,1955,1970,59,190,185,13,130,1,26,,39,,,,,
Eddie Robinson,29.63,0,0,0,11,1992,2002,64,175,163,6,94,1,49,20,23,804,608,196,28,
Leonard Floyd,29.28,1,0,0,7,2016,2023,55,121,120,2,30,1,19,14,58,370,228,142,63,122
Mike Hegman,28.9,1,0,0,8,1976,1987,54,170,118,7,12,0,7,,21,,,,,
Michael Brooks,28,0,0,1,7,1987,1996,58,138,113,4,34,0,17,,7,1016,962,54,,
Jim Youngblood,27.93,0,0,1,7,1973,1984,58,156,98,14,262,4,36,,15.5,,,,,
Simon Fletcher,27.83,0,0,0,9,1985,1995,61,172,143,2,8,0,4,,97.5,828,808,20,,
Bill Koman,27.58,0,0,2,11,1956,1967,54,156,136,7,27,0,8,,24.5,,,,,
Matt Milano,27.45,0,1,1,4,2017,2023,52,90,74,10,156,1,43,39,10.5,488,331,157,58,39
